ID,SpecificDialect,Glottocode,Type,Macroarea,Dates,DatesSource,InventoryType,TimeDepth,TimeDepthYBP,BibtexKey,Source,Comments
1066,NA,saam1281,Reconstructed,Eurasia,NA,NA,vowels only,1000 BC,3000,korhonen1988,BDPROTO,SEE more recent resource BdprotoID 30
1082,NA,lolo1265,Reconstructed,Eurasia,NA,NA,all,NA,NA,matisoff1979,BDPROTO,NA
1014,NA,obol1242,Reconstructed,Africa,NA,NA,consonants only,NA,NA,connell1995,BDPROTO,NA
1063,NA,lowe1437,Reconstructed,Eurasia,NA,NA,all,-6000 (wikilowersepik),6000,foley1986,BDPROTO,NA
1108,NA,maid1262,Reconstructed,North America,NA,NA,all,NA,NA,ultan1964,BDPROTO,NA
1004,NA,mala1545,Reconstructed,Papunesia,NA,NA,all,-4000 BC,6000,hogan1993,BDPROTO,NA
1037,NA,mand1469,Reconstructed,Africa,NA,NA,consonants only,NA,NA,dwyer1989,BDPROTO,NA
1025,NA,mand1435,Reconstructed,Africa,NA,NA,all,NA,NA,bimson1976,BDPROTO,NA
1027,NA,mark1257,Reconstructed,Papunesia,NA,NA,all,NA,NA,holzknecht1989,BDPROTO,NA
1057,NA,maya1287,Reconstructed,North America,NA,NA,all,2200 BC,4200,campbell1990,BDPROTO,NA
1107,NA,micr1243,Reconstructed,Papunesia,NA,NA,all,NA,NA,bender1985,BDPROTO,NA
1049,NA,midd1317,Attested,Eurasia,1K-0.5K,NA,vowels only,-900 (baugh1993history),900,antonsen1961,BDPROTO,NA
1070,NA,mixt1422,Reconstructed,North America,NA,NA,all,-1000,1000,longacre1967,BDPROTO,NA
1020,NA,moni1258,Reconstructed,Eurasia,NA,NA,all,NA,1500,ferlus1983,BDPROTO,NA
1021,NA,newc1243,Reconstructed,Papunesia,NA,NA,consonants only,NA,NA,ozanne1992,BDPROTO,NA
1055,NA,NA,Reconstructed,NA,NA,NA,all,"spoken between 15,000 and 12,000 BCE (bomhard2008reconstructing)",14000,bomhard1990,BDPROTO,NA
1089,NA,khan1273,Reconstructed,Eurasia,NA,NA,all,500 AD (first half of the second millenium BCE),3500,sammallahti1988,BDPROTO,NA
1006,NA,oldc1244,Attested,Eurasia,NA,NA,all,800-500 BC,2500,hogan1993,BDPROTO,NA
1011,NA,oldt1249,Attested,Eurasia,3.5-3K,NA,all,split from proto-Dravidian between 1500-1000 BC (harvardprotodravidian),3000,krishnamurti1961,BDPROTO,NA
1043,NA,onga1238,Reconstructed,Africa,NA,NA,all,NA,NA,vossen1989,BDPROTO,NA
1096,NA,otom1299,Reconstructed,North America,NA,NA,all,splitting date of Proto-Otomanguean at ca. 4400 BCE,6400,rensch1966,BDPROTO,NA
1073,NA,otom1300,Reconstructed,North America,NA,NA,all,NA,NA,longacre1967,BDPROTO,NA
1100,NA,pama1251,Reconstructed,Australia,NA,NA,all,NA,NA,sommer1976,BDPROTO,NA
1022,NA,grea1284,Reconstructed,Eurasia,NA,NA,all,NA,NA,blust1991,BDPROTO,NA
1017,NA,blan1242,Reconstructed,Eurasia,NA,NA,all,NA,600,paulsen1992,BDPROTO,NA
1002,NA,poly1242,Reconstructed,Papunesia,NA,NA,all,some time around 1000 B.C. (tryon1995comparative),3000,walsh1966,BDPROTO,NA
1071,NA,popo1293,Reconstructed,North America,NA,NA,all,NA,NA,longacre1967,BDPROTO,NA
1000,NA,basq1248,Reconstructed,Eurasia,NA,NA,all,-2000,2000,trask2013,BDPROTO,NA
1102,NA,suga1248,Reconstructed,Africa,NA,NA,all,NA,NA,theil1991,BDPROTO,NA
1035,NA,ainu1240,Reconstructed,Eurasia,NA,NA,all,NA,NA,vovin1993,BDPROTO,NA
1101,NA,nucl1643,Reconstructed,Eurasia,NA,NA,vowels only,400 B.C. (hudson1994japan),2400,martin1987,BDPROTO,NA
1013,NA,kare1337,Reconstructed,Eurasia,NA,NA,all,NA,NA,jones1961,BDPROTO,NA
1003,NA,lakk1238,Reconstructed,Eurasia,NA,NA,all,NA,NA,theraphan1991,BDPROTO,NA
1023,NA,maba1274,Reconstructed,Africa,NA,NA,consonants only,NA,NA,edgar1991,BDPROTO,NA
1044,NA,nubi1251,Reconstructed,Africa,NA,NA,all,first millenium BC (rilly2009cradle),3000,gerst1989,BDPROTO,NA
1115,NA,pomo1273,Reconstructed,North America,NA,NA,all,NA,5000,mclendon1973,BDPROTO,NA
1105,NA,viet1252,Reconstructed,Eurasia,NA,NA,consonants only,seventh to ninth century AD (comrie2009world),1300,ferlus1992,BDPROTO,NA
1010,NA,grea1276,Reconstructed,North America,NA,NA,all,NA,2000,campbell1977,BDPROTO,NA
1019,NA,coas1317,Reconstructed,Africa,NA,NA,all,NA,NA,nurse1993,BDPROTO,NA
1098,NA,sali1255,Reconstructed,North America,NA,NA,all,NA,NA,Thompson1979,BDPROTO,NA
1085,NA,samo1298,Reconstructed,Eurasia,NA,NA,all,-7000/-6000,6000,sammallahti1988,BDPROTO,NA
1001,NA,sang1335,Reconstructed,Papunesia,NA,NA,all,NA,NA,sneddon1984,BDPROTO,NA
1092,NA,sara1341,Reconstructed,Africa,NA,NA,consonants only,NA,NA,Boyeldieu_unpublished,BDPROTO,NA
1080,NA,semi1276,Reconstructed,Eurasia,NA,NA,all,NA,5750,moscati1969,BDPROTO,SEE more recent resource BdprotoID 101
