ID,Name,Description
DAC6AC8BCA2D24EFF188A7129D280801,ʒ,LATIN SMALL LETTER EZH
156737A64AD26707AB4DDD58B6E3DCC5,dˀ,LATIN SMALL LETTER D - MODIFIER LETTER GLOTTAL STOP
6D1CBE8D062AA4C3E4F615A65E391C5D,zˀ,LATIN SMALL LETTER Z - MODIFIER LETTER GLOTTAL STOP
E8FB2F8EBE3389F7D5174EB7898C74F3,ʒˀ,LATIN SMALL LETTER EZH - MODIFIER LETTER GLOTTAL STOP
A2DFF488C07B9A11B5DF5EA37214750D,β,GREEK SMALL LETTER BETA
E9F92ED438311DEF47430F2DC3038C22,ɸ,LATIN SMALL LETTER PHI
EF29C6F75A75513554A1F65706301CE2,a̟,LATIN SMALL LETTER A - COMBINING PLUS SIGN BELOW
1AA8835FD9E691ED7B29A34F2DBBD907,a̟ː,LATIN SMALL LETTER A - COMBINING PLUS SIGN BELOW - MODIFIER LETTER TRIANGULAR COLON
F55CF3619FAF770147652F0FDB9F146F,ɑ,LATIN SMALL LETTER ALPHA
88AC5CE19511786367C819D16739C6E1,ɑː,LATIN SMALL LETTER ALPHA - MODIFIER LETTER TRIANGULAR COLON
80E0B47CF9A1F002B35B6AAB49574C61,ɤ,LATIN SMALL LETTER RAMS HORN
ECADEF8DC1141DC0002DA207736CC234,ɽ,LATIN SMALL LETTER R WITH TAIL
A61CD1A0C549D454DFFCEB62F61318E5,ɯ,LATIN SMALL LETTER TURNED M
ABCFAED5F3E3B8EC06B68A672DE107FB,ɯː,LATIN SMALL LETTER TURNED M - MODIFIER LETTER TRIANGULAR COLON
E31F30626CFDAD792E73B8C4611707A9,ɭ̥,LATIN SMALL LETTER L WITH RETROFLEX HOOK - COMBINING RING BELOW
6838968A8DAA29313F3FD0EF4CE0AF3C,ɳ,LATIN SMALL LETTER N WITH RETROFLEX HOOK
64EABC4FDF5DE0BE02E889701FD34147,ʈ,LATIN SMALL LETTER T WITH RETROFLEX HOOK
2DA484FF3408444AF11E01960C9C893A,t̪,LATIN SMALL LETTER T - COMBINING BRIDGE BELOW
5B8A0392206611F78C6A5ABCF5A4952F,ʋ,LATIN SMALL LETTER V WITH HOOK
BD5DD0B4F35DA44F05B251A09476EADF,tsʲ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL J
80A0DB9BE8D288FB191A2C2FBD0B61BD,ð̪ʲ,LATIN SMALL LETTER ETH - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL J
AE22B011DAF9516E3388AF4E418B00F4,sʲ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL J
0C125CB557D530881A8F1E46A3EB6F0C,ʈʂ,LATIN SMALL LETTER T WITH RETROFLEX HOOK - LATIN SMALL LETTER S WITH HOOK
2CABD4F4B64695E5329B759A3F63C146,ʉ,LATIN SMALL LETTER U BAR
2653DF7B6901A0BABDDFBC146CF52EDE,cʰ,LATIN SMALL LETTER C - MODIFIER LETTER SMALL H
EAC82008F6CCDB55D61CCF8269F477A1,kpʰ,LATIN SMALL LETTER K - LATIN SMALL LETTER P - MODIFIER LETTER SMALL H
1D99DEE96BB19529DC9E5ED7FA7BF68B,ɥ,LATIN SMALL LETTER TURNED H
41B1D4BBD29D91DFEA3B938C50B5435B,a̘,LATIN SMALL LETTER A - COMBINING LEFT TACK BELOW
1F0B39C9E43EDAD4E4E4BCEC2A2C955D,bʰ,LATIN SMALL LETTER B - MODIFIER LETTER SMALL H
7F68A9285E7300742D54F0712244DB12,e̘,LATIN SMALL LETTER E - COMBINING LEFT TACK BELOW
330B0852F5CFBD528119D67ED1A603DC,ɡbʰ,LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B - MODIFIER LETTER SMALL H
6AA3FEA3758FF09B65D27B20D04B0660,ɡʰ,LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL H
81523B8AEAB1A611724A1590FB4AED73,i̘,LATIN SMALL LETTER I - COMBINING LEFT TACK BELOW
8BCC1E315A842A1DF3745488F066C7C7,ŋʰ,LATIN SMALL LETTER ENG - MODIFIER LETTER SMALL H
705357ACC18BDD1D48A1C6C4F68758AE,o̘,LATIN SMALL LETTER O - COMBINING LEFT TACK BELOW
280AA460AC77D670C05B7A5228BA7482,u̘,LATIN SMALL LETTER U - COMBINING LEFT TACK BELOW
FC7AAC2F2DD0F75DE6A9EC1F88A4ADB6,tʲ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL J
D811FACBDA7B1EE029194A7C59DF48B1,ð̪ʼ,LATIN SMALL LETTER ETH - COMBINING BRIDGE BELOW - MODIFIER LETTER APOSTROPHE
5C19A8FEDB2B0124AA7C66E689586A64,ɤː,LATIN SMALL LETTER RAMS HORN - MODIFIER LETTER TRIANGULAR COLON
669DDE9466BD7E8128CB0D0BFB3A2B20,t̠ʃʲ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL J
0893FE8A6560A9B5DFA0A58647DB558E,ɛ̃,LATIN SMALL LETTER OPEN E - COMBINING TILDE
8EB42EA410A32B30095194B613991F57,ŋmɡb,LATIN SMALL LETTER ENG - LATIN SMALL LETTER M - LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B
E8929F8B062DC2469EEDA96A98BD8D3A,ɔ̃,LATIN SMALL LETTER OPEN O - COMBINING TILDE
B6A183CD49975B9F63B7F4EA8CE885F6,nz,LATIN SMALL LETTER N - LATIN SMALL LETTER Z
2F8EC6B0EA3ECBE22B3D360AF6A330C2,mʷ,LATIN SMALL LETTER M - MODIFIER LETTER SMALL W
62B50AA4D6AD6E1D010DD073BCD23B7E,ɰ,LATIN SMALL LETTER TURNED M WITH LONG LEG
BDCB476FDF9F0038840AE713F09550BD,ə̘,LATIN SMALL LETTER SCHWA - COMBINING LEFT TACK BELOW
D47E305230AF5B8AD808EC71E2E40B0A,l̥,LATIN SMALL LETTER L - COMBINING RING BELOW
27619799640A03D4697D6FDDDB1F74A5,r̥,LATIN SMALL LETTER R - COMBINING RING BELOW
0C09EF7DD3A046DCF26731D2541C461C,kʷʰ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H
8BFEFCBF0A8229643560D35F7A45AD6F,ʕɦ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE - LATIN SMALL LETTER H WITH HOOK
897C29F2A53EB07052098AF594244D0C,ħh,LATIN SMALL LETTER H WITH STROKE - LATIN SMALL LETTER H
B4E8882DC0ECB15B530905B747205C8C,ɡʷʰ,LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H
C20939F4B08BCC96CDF232BCF763B8AC,d̪ð̪,LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - LATIN SMALL LETTER ETH - COMBINING BRIDGE BELOW
1328DE7368EC9B18055FBBC5445E9307,n̥,LATIN SMALL LETTER N - COMBINING RING BELOW
871B92989C5EC420B7D61B05731D1E83,qʰ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL H
A9C9D494A182D573F46891C22E0BABEB,tθʰ,LATIN SMALL LETTER T - GREEK SMALL LETTER THETA - MODIFIER LETTER SMALL H
976E51A850C627DC92F4A41E45BB017E,t̪θ̪ʼ,LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - GREEK SMALL LETTER THETA - COMBINING BRIDGE BELOW - MODIFIER LETTER APOSTROPHE
