ID,Language_ID,Parameter_ID,Value,Inventory_ID,PhonemeNotes,PhonemeNFD
132,anat1257,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,1018,NA,r
133,anat1257,7FF174469DAC4E61520F4E1610B2F088,s,1018,NA,s
134,anat1257,9F90F95459807624A486F03FE5A89978,t,1018,NA,t
135,anat1257,106C7FE93D986D037407524D08F3599A,ts,1018,NA,ts
136,anat1257,58EB693AE523323410326D60806B9ADF,u,1018,NA,u
137,anat1257,3A9677F59A8D4980D4DEADD51C55FF1C,uː,1018,NA,uː
138,anat1257,501394D0E2658752D9DA624E7DEBE14B,w,1018,NA,w
139,anat1257,E77FDA2EAABA78B3E55A968B2257CF26,z,1018,NA,z
140,araw1281,72FB536ACFF408163656BBCDAFCAC6F6,a,1116,NA,a
141,araw1281,8E32B519FFFA1D3336C36200F8060969,ã,1116,NA,ã
142,araw1281,694212B746622E482E0E58D50036100E,b,1116,NA,b
143,araw1281,E6253384902D489FDB1FE487B7ED4AB2,d,1116,NA,d
144,araw1281,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,1116,NA,d̠ʒ
145,araw1281,199408E3D0668F10F475143F0E8CC0CB,e,1116,NA,e
146,araw1281,1507B68E1E3108371C1F882C40902AA5,ẽ,1116,NA,ẽ
147,araw1281,86E80A7DA80F7F58CA76F85BACA48F86,f,1116,NA,f
148,araw1281,ECC959553F23387998DAF88D69D7736C,ɡ,1116,NA,ɡ
149,araw1281,E7FBD92350B3CA8B7B5D77E36A607068,h,1116,NA,h
150,araw1281,F0585BB57111C322D6E7DABB0D01F9EA,i,1116,NA,i
151,araw1281,3A3393BDCDC64FE0B39793147F9DBA7D,ɨ,1116,NA,ɨ
152,araw1281,EDBF780C3E6B55C0D3F719E059C630B0,ɨ̃,1116,NA,ɨ̃
153,araw1281,A9F45477DAC8AB8BB14C84275ED3690F,ĩ,1116,NA,ĩ
154,araw1281,ADF56B8E4119266843033E723A149AE2,j,1116,NA,j
155,araw1281,5A838FF4DABE1950734CFAFAB9383903,k,1116,NA,k
156,araw1281,BD29F40254AA0996800A773122397C28,kʰ,1116,NA,kʰ
